business_activity,category,scale_or_specification,unit,reference_cost_min_inr,reference_cost_max_inr,cost_basis,source_authority,source_year,state_or_scope,source_page,official_source_url,notes,provenance_priority,use_for_vittanaya
FPO/FPC Finance,Agribusiness,Procurement & marketing,No.,1500000,1500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Fish Marketing - Auto Rickshaw with Ice Box,Fisheries / retail logistics,Auto rickshaw with ice box,No.,300000,300000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Fish Marketing - Motorcycle with Ice Box,Fisheries / retail logistics,Motorcycle with ice box,No.,85000,85000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Fish Seed Rearing,Fisheries,Fry to fingerling in new pond,ha,221000,221000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Fishing Craft,Fisheries,Non-mechanised traditional plank boat,No.,500000,500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Fruit Processing - Pickle,Food processing,Pickle,No.,100000,100000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Goat Rearing,Livestock,New shed 10+1,unit,158000,158000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Godown - Large,Storage / warehousing,Large,No.,24500000,24500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Godown - Medium,Storage / warehousing,Medium,No.,5000000,5000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Godown - Small,Storage / warehousing,Small,No.,500000,500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Buffalo Farming - Graded,Dairy,1+1,unit,288000,288000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Healthcare - Hospital,Healthcare,Hospital,No.,50000000,50000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Healthcare - Nursing Home,Healthcare,Nursing home,No.,10000000,10000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Heifer Rearing - 20,Dairy,20 heifers,unit,1040000,1040000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Heifer Rearing - 5,Dairy,5 heifers,unit,260000,260000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Indigenous Graded Cattle Farming,Dairy,5+5,unit,1038000,1038000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Indigenous Poultry Farming,Poultry,Dual purpose 250 birds,250 birds,120000,120000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Intensive Fish Farming - Biofloc,Fisheries,Biofloc technology,No.,750000,750000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Lift Irrigation Scheme,Irrigation,Lift irrigation,No.,242110,242110,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
MFI Onlending for Agri,Finance intermediary,Agriculture onlending,No.,30000000,30000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Loans to Distressed Persons,Financial support,Jan Dhan,No.,10000,10000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
MFI Onlending,Finance intermediary,Onlending,No.,100000000,100000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
